STT,Tiêu chí,Điểm,Chi tiết,,,,,
1,Giới thiệu bài toán,1.5,,,,,,
,1,0.5,"Giới thiệu loại bài toán thuộc nhóm: lưu trữ, thu thập, trực quan, xử lý, web",,,,,
,2,1,Kích thước dữ liệu - dung lượng bộ nhớ cho xử lý,,,>4GB,,
,,,,so sánh tốc độ xử lý trong trường hợp sử dụng dịch vụ ở các region khác nhau,,,,
,,,Dữ liệu xử lý:,0.25-b,0.5-kB,0.75-MB,1.0-GB,
2,Cơ sở lý thuyết,3,,,,,,
,1,1,"Trình bày tổ chức lưu trữ dữ liệu lên cloud: định dạng, kích thước, cấu trúc, tổ chức",,,,,
,2,1,"Trình bày thuật toán xử lý, luồng xử lý, hoặc truy xuất dữ liệu",,,,,
,3,1,Trình bày chi tiết các dịch vụ cloud sử dụng,,,,,
,,,,,,,,
3,Mô hình dữ liệu,1.5,,,,,,
,1,0.5,Tốc độ đọc ghi truy xuất dữ liệu,,,,,
,2,0.5,Thiết lập luồng xử lý dữ liệu tự động ETL,,,,,
,3,0.5,Các giải pháp thực hiện tối ưu hóa cho việc lưu trữ dữ liệu và cải thiện tốc độ đọc ghi dữ liệu từ vùng lưu trữ sang các ứng dụng,,,,,
4,Hiện thực bài tập,3,Thực hiện như yêu cầu miêu tả bài tập quá trình,,,,,
5,Trình bày báo cáo,1,,,,,,
,,0.5,Power Point & Word báo cáo,,Theo định dạng báo cáo KLTN,,"Lỗi font chữ, chính tả, hình ảnh, số hình, số bảng biểu, tài liệu tham khảo, ...",
,,0.5,Trình bày Power Point & demo,,,,bullet,số slide - trang
